哲学体系,流派名,一句话描述
西方哲学,马克思主义,问题在于改变世界。
西方哲学,生命哲学,理性不能穷尽生命。
西方哲学,社会学,追问社会何以可能。
世界哲学,北欧哲学,克尔凯郭尔的信仰跳跃。
世界哲学,东欧斯拉夫哲学,索洛维约夫、舍斯托夫——第三条道路。
世界哲学,北美哲学,实用主义与超验主义。
世界哲学,黑人哲学,从废奴运动到黑权运动——双重意识、种族批判与黑人存在主义的全球哲学传统。
东方哲学,天演论,物竞天择，适者生存。
东方哲学,维新派,变则通，通则久。
西方哲学,实用主义,真理即有用，意义在于效果。
西方哲学,精神分析学,心灵深处有一个你不知道的你。
西方哲学,现象学,回到事物本身。
西方哲学,存在主义,存在先于本质。
西方哲学,分析哲学,全部哲学就是语言的批判。
西方哲学,过程哲学,实在是生成而非存在。
西方哲学,哲学人类学,人是什么。
东方哲学,三民主义,民族、民权、民生。
东方哲学,旧民主主义,探索民主共和道路。
世界哲学,解放哲学,从解放神学到巴西解放教育学——哲学为被压迫者发声。
西方哲学,西方马克思主义,回到黑格尔的马克思。
西方哲学,法兰克福学派,工具理性已沦为新的统治形式。
西方哲学,批判理论,传统理论描述世界，批判理论旨在解放。
西方哲学,科学哲学,科学何以成为科学。
西方哲学,荒诞哲学,世界没有意义，但人必须活下去。
西方哲学,基督教哲学,信仰在理性中追问自身。
西方哲学,结构主义,意义在关系之中。
西方哲学,政治哲学,追问正义、权力与自由。
西方哲学,哲学诠释学,理解是存在方式。
东方哲学,毛泽东思想,实事求是，群众路线。
东方哲学,中国马克思主义哲学,辩证唯物主义的中国化。
东方哲学,新民主主义,革命分两步走。
西方哲学,解构主义,德里达的解构——文字、意义与权力的边缘。
西方哲学,后结构主义,解构逻各斯中心主义。
西方哲学,后现代主义,对宏大叙事的怀疑。
西方哲学,伦理学,追问人应该如何生活。
世界哲学,环境哲学,人类与自然的伦理关系——深层生态学、生态女性主义与环境正义。
西方哲学,宗教哲学,以理性审视信仰。
世界哲学,后殖民哲学,法农、萨义德、斯皮瓦克——殖民经验的哲学批判与去殖民化思想。
西方哲学,女性主义,个人的即政治的。
世界哲学,原住民哲学,全球原住民的生态智慧与土地伦理——从澳大利亚到亚马逊。
西方哲学,社群主义,自我镶嵌于共同体之中。
东方哲学,现代新儒家,返本开新，内圣外王。
东方哲学,中国实证哲学,大胆假设，小心求证。
东方哲学,马克思主义哲学的中国化与体系化,实践标准到理论体系。
世界哲学,蒙古中亚哲学,萨满传统与长生天。
世界哲学,澳洲原住民哲学,梦时代——最古老文明的生命智慧。
西方哲学,技术哲学,技术不是中立的工具。
东方哲学,习近平新时代中国特色社会主义思想,以人民为中心的发展思想。
